time,numErr,TrackID,Trigger,X(m),Y(m),Vx(km/h),Vy(km/h),Lane,objType,L(m)
Fri Mar 15 19:34:51 2024,0,160,[Range],69.300,1.800,-68.400,0.000,0,b4w,2.000
Fri Mar 15 19:35:49 2024,0,169,[Range],68.900,1.100,-79.560,0.000,0,b4w,3.000
Fri Mar 15 19:36:02 2024,0,170,[Range],69.600,-4.000,-37.080,0.000,1,b4w,0.000
Fri Mar 15 19:36:03 2024,0,165,[Range],69.600,0.100,-41.040,-1.080,1,b4w,24.000
Fri Mar 15 19:36:28 2024,0,157,[Range],69.200,3.300,-62.640,-0.360,0,b4w,15.000
Fri Mar 15 19:36:51 2024,0,179,[Range],69.900,-2.000,-43.560,-1.440,1,b4w,5.000
Fri Mar 15 19:37:17 2024,0,171,[Range],69.600,-1.000,-47.880,0.000,1,b4w,0.000
Fri Mar 15 19:37:38 2024,0,164,[Range],69.600,-0.800,-45.000,-2.160,1,b4w,14.000
Fri Mar 15 19:37:51 2024,0,182,[Range],69.300,-0.600,-64.080,-1.080,1,b4w,17.000
Fri Mar 15 19:37:54 2024,0,187,[Range],69.500,1.600,-82.080,0.000,0,b4w,4.000
Fri Mar 15 19:37:56 2024,0,187,[Speed],26.400,0.400,-81.360,-1.440,1,b4w,18.000
Fri Mar 15 19:38:01 2024,0,184,[Range],69.700,1.000,-79.560,0.000,0,b4w,7.000
Fri Mar 15 19:38:21 2024,0,186,[Range],69.200,2.700,-68.760,-0.360,0,b4w,5.000
Fri Mar 15 19:38:22 2024,0,185,[Range],69.600,-1.000,-30.600,0.000,1,b4w,16.000
Fri Mar 15 19:38:52 2024,0,191,[Range],69.900,-1.300,-61.200,0.000,1,b4w,6.000
Fri Mar 15 19:38:57 2024,0,197,[Range],69.800,2.000,-47.520,-1.440,0,b4w,107.000
Fri Mar 15 19:38:58 2024,0,190,[Range],69.500,2.000,-47.880,0.000,0,b4w,7.000
